"","asc_tele_f","asc_tele_m","b_childlt6_f","b_childlt6_m","b_commtime_f","b_commtime_m","b_efact9_f","b_efact9_m","b_manconst_f","b_manconst_m","b_jobconst_f","b_jobconst_m","b_age_f","b_age_m"
"asc_tele_f",-14.0653764306888,-14.0653764306943,-2.80635855006272,-2.40858415824274e-11,-899.851266525582,-3.68109686869213e-09,-2.02319097125692,1.65856210763585e-13,-2.95101712469337,-2.80595525503753e-12,-4.13254958651503,-7.82136568142281e-12,-7.61749150662725,-3.16013687085364e-11
"asc_tele_m",-14.0653764306943,-14.0653764306888,-2.80635855006272,-2.40858415824274e-11,-899.851266525582,-3.68109686869213e-09,-2.02319097125692,1.65856210763585e-13,-2.95101712469337,-2.80595525503753e-12,-4.13254958651503,-7.82136568142281e-12,-7.61749150662725,-3.16013687085364e-11
"b_childlt6_f",-2.80635855006272,-2.80635855006272,-2.80635855036405,-4.44920641525595e-11,-179.739003351571,-6.85375284807370e-09,-0.691646192792176,2.43230592517058e-10,-0.399222100196375,5.99549319657448e-11,-0.847648951178985,1.67144686366546e-10,-0.271481166918745,1.38763355399331e-09
"b_childlt6_m",-2.40858415824274e-11,-2.40858415824274e-11,-4.44920641525595e-11,-7.15010343884434,-2.92749257428217e-09,-557.485743424802,-1.33282239136428e-11,-0.780233786458379,-5.64474409857611e-12,-1.00282784847248,9.40500007104231e-11,-1.73305308224451,-2.54942004542972e-11,-3.12544848584227
"b_commtime_f",-899.851266525582,-899.851266525582,-179.739003351571,-2.92749257428217e-09,-76280.1710772574,-4.43948399356092e-07,-274.118429735562,2.05406641749985e-11,-200.289316615277,-3.43842462106019e-10,-237.813631048409,-9.584342446551e-10,-495.579033734276,-3.81130097696505e-09
"b_commtime_m",-3.68109686869213e-09,-3.68109686869213e-09,-6.85375284807370e-09,-557.485743424802,-4.43948399356092e-07,-228954.777741181,-2.48317519622849e-08,-327.999012478566,-8.76413528621586e-10,-471.256877720179,-2.79497790426306e-09,-643.269294425586,-2.76148012502329e-08,-1534.90505125023
"b_efact9_f",-2.02319097125692,-2.02319097125692,-0.691646192792176,-1.33282239136428e-11,-274.118429735562,-2.48317519622849e-08,-5.30887195535375,1.83690776464299e-13,-1.73206868441982,-5.17055135861027e-16,-0.213297283447647,-8.72736756260377e-12,-1.03428154187759,5.47832670433292e-13
"b_efact9_m",1.65856210763585e-13,1.65856210763585e-13,2.43230592517058e-10,-0.780233786458379,2.05406641749985e-11,-327.999012478566,1.83690776464299e-13,-14.2461811802714,6.22113763765588e-11,-0.662552587675934,9.99715677116512e-11,0.896429909885769,1.75105999681544e-13,-0.256681806778822
"b_manconst_f",-2.95101712469337,-2.95101712469337,-0.399222100196375,-5.64474409857611e-12,-200.289316615277,-8.76413528621586e-10,-1.73206868441982,6.22113763765588e-11,-2.95101712469513,-1.34707351093973e-12,-0.469971761948936,4.27507753624389e-11,-1.08689951862959,1.70229898382414e-10
"b_manconst_m",-2.80595525503753e-12,-2.80595525503753e-12,5.99549319657448e-11,-1.00282784847248,-3.43842462106019e-10,-471.256877720179,-5.17055135861027e-16,-0.662552587675934,-1.34707351093973e-12,-5.85814058579455,2.46767762975186e-11,-2.87995315279355,-2.99473649639027e-12,-4.23832677287644
"b_jobconst_f",-4.13254958651503,-4.13254958651503,-0.847648951178985,9.40500007104231e-11,-237.813631048409,-2.79497790426306e-09,-0.213297283447647,9.99715677116512e-11,-0.469971761948936,2.46767762975186e-11,-4.13254958656349,6.87950711622952e-11,-1.39825226382418,2.73554614096422e-10
"b_jobconst_m",-7.82136568142281e-12,-7.82136568142281e-12,1.67144686366546e-10,-1.73305308224451,-9.584342446551e-10,-643.269294425586,-8.72736756260377e-12,0.896429909885769,4.27507753624389e-11,-2.87995315279355,6.87950711622952e-11,-9.42215553058348,-8.34786941563161e-12,-6.02101177648313
"b_age_f",-7.61749150662725,-7.61749150662725,-0.271481166918745,-2.54942004542972e-11,-495.579033734276,-2.76148012502329e-08,-1.03428154187759,1.75105999681544e-13,-1.08689951862959,-2.99473649639027e-12,-1.39825226382418,-8.34786941563161e-12,-7.61749150662368,-3.31906354099522e-11
"b_age_m",-3.16013687085364e-11,-3.16013687085364e-11,1.38763355399331e-09,-3.12544848584227,-3.81130097696505e-09,-1534.90505125023,5.47832670433292e-13,-0.256681806778822,1.70229898382414e-10,-4.23832677287644,2.73554614096422e-10,-6.02101177648313,-3.31906354099522e-11,-19.4998026807007
